ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
27,Nomuraea rileyi,Fungi,Deuteromycetes,unknown,Trichoplusia ni,Lepidoptera,Noctuidae,,,,Dominican Republic; USA; Taiwan,,,,,,7164,,
28,Chytridiopsis socius,Protozoa,Microspora,Microsporea (Minisporida),Blaps mortisaga,Coleoptera,Tenebrionidae,,Intestinal epithelium,,France,,,,,,7164,,
29,Chytridiopsis aquaticus,Protozoa,Microspora,Microsporea (Minisporida),Helodes minutes,Coleoptera,Chrysomelidae,,Intestinal epithelium,,France,,,,,,7164,,
30,Chytridiopsis clerci,Protozoa,Microspora,Microsporea (Minisporida),Diaperis boleti,Coleoptera,Tenebrionidae,,Intestinal epithelium,,France,,,,,,7164,,
31,Chytridiopsis typographi ,Protozoa,Microspora,Microsporea (Minisporida),Ips typographus,Coleoptera,Scolytidae,,Midgut epithelium,Field,"Germany, Canada",,,,,,7164,,NearcticPalearctic
32,Hessea squamosa,Protozoa,Microspora,Microsporea (Minisporida),Sciara sp.,Diptera,Sciaridae,,Gut epithelium of larva,,France,,,,,,7164,,
33,Pleistophora blattae,Protozoa,Microspora,Microsporea (Microsporida),Blatta orientalis,Blattodea,Blattidae,,Fat  body,,France,,,,,,7164,,
34,Pleistophora blattae,Protozoa,Microspora,Microsporea (Microsporida),Blattella germanica,Blattodea,Blattellidae,,Fat body,,France,,,,,,7164,,
35,Pleistophora bohemica,Protozoa,Microspora,Microsporea (Microsporida),Cloeon rufulum,Ephemeroptera,Baetidae,Larva,,Field,Czechoslovakia,,,,,,7164,,Palearctic
36,Pleistophora caecorum,Protozoa,Microspora,Microsporea (Microsporida),Culiseta inornata,Diptera,Culicidae,EggLarvaPupaAdult,"Caeca, midgut",Field,USA,,,,,,7164,,Nearctic
37,Pleistophora californica,Protozoa,Microspora,Microsporea (Microsporida),Phthorimaea operculella,Lepidoptera,Gelechiidae,Larva,Fat body; Malpighian tubules; ,Field,"USA, Japan",,,,,,7164,,NearcticPalearctic
